"station_id";"name";"latitude";"longitude";"type";"charging_speed";"charging_per_kwh"
7607;"Westport Plaza Castlecourt";53.801;-9.51918;"Type2";"22kW";"N/A"
7624;"Barrack Street";53.7662;-8.48333;"Type2";"22kW";"N/A"
7625;"Carrick Road";53.9719;-8.30158;"Type2";"22kW";"N/A"
7626;"Town Centre Car Park";53.6309;-8.18861;"Type2";"22kW";"N/A"
7627;"Cearnóg Wolfe Tone‎";54.0543;-8.72941;"Type2";"22kW";"N/A"
7628;"Irish Rail";54.1866;-8.49496;"Type2";"22kW";"N/A"
7629;"Irish Rail";54.272;-8.48254;"Type2";"22kW";"N/A"
7630;"Radisson Blu Hotel";54.299;-8.49977;"Type2";"22kW";"N/A"
7631;"Abbey Court Hotel";52.8646;-8.18876;"Type2";"22kW";"N/A"
7633;"Cleary's Car Park";52.8615;-8.21292;"Type2";"22kW";"N/A"
7635;"Django's Hostel";52.9438;-8.03928;"Type2";"22kW";"N/A"
7641;"Town Car Park";52.4732;-8.16036;"Type2";"22kW";"N/A"
9152;"Largo Alfredo Diniz";38.6875;-9.14775;"Schuko";"3.7kW";"N/A"
9153;"Av. D. Nuno Álvares Pereira";38.6791;-9.15835;"Schuko";"3.7kW";"N/A"
9154;"Rua da Liberdade";38.6734;-9.16159;"Schuko";"3.7kW";"N/A"
9155;"Praceta João Armindo";38.6678;-9.16071;"Type2";"3.7kW";"N/A"
9156;"R. Catarina Eufémia";38.6474;-9.24075;"Schuko";"3.7kW";"N/A"
9157;"Estr. Florestal da Fonte Da Telha";38.6172;-9.21691;"Schuko";"3.7kW";"N/A"
9158;"Av. General Humberto Delgado";38.6413;-9.2367;"Schuko";"3.7kW";"N/A"
9159;"Rua dos Inventores";38.6615;-9.20169;"Schuko";"3.7kW";"N/A"
9160;"Estr. Florestal da Fonte Da Telha";38.6075;-9.21028;"Type2";"3.7kW";"N/A"
9161;"R. Abel Salazar";38.6701;-9.17043;"Schuko";"3.7kW";"N/A"
9162;"Av. da República";38.6482;-9.18359;"Schuko";"3.7kW";"N/A"
9163;"Av. Antonio Jose Gomes";38.6746;-9.15311;"Schuko";"3.7kW";"N/A"
9164;"Rua de Marco Cabaço";38.6175;-9.19114;"Schuko";"3.7kW";"N/A"
9165;"R. Alameda de Guerra Junqueiro";38.6577;-9.15995;"Schuko";"3.7kW";"N/A"
9166;"R. Joaquim Pires Jorge";38.6541;-9.16775;"Schuko";"3.7kW";"N/A"
9167;"Av. Arsenal do Alfeite";38.6629;-9.16543;"Schuko";"3.7kW";"N/A"
9168;"Av. da Liberdade";38.673;-9.23224;"Schuko";"3.7kW";"N/A"
9169;"Estrada do Caminho Municipal";38.6616;-9.17543;"Schuko";"3.7kW";"N/A"
9170;"Café Cheers";38.6822;-9.15875;"Schuko";"3.7kW";"N/A"
9171;"Leroy Merlin Almada";38.6581;-9.17226;"Schuko";"3.7kW";"N/A"
9172;"P.E. Conde Ferreira";38.6812;-9.16091;"Type2";"3.7kW";"N/A"
9173;"P.E. Bento Gonçalves";38.6752;-9.16607;"Type2";"3.7kW";"N/A"
9174;"AMD-00001";38.7766;-9.22136;"Schuko";"3.7kW";"N/A"
9175;"IKEA Alfrangide";38.7283;-9.21579;"Schuko";"3.7kW";"N/A"
9176;"AMD-00002";38.7477;-9.21469;"Schuko";"3.7kW";"N/A"
9177;"Batlight";39.001;-9.06479;"Schuko";"3.7kW";"N/A"
9178;"AZB-00002";39.1224;-8.90774;"Chademo";"50kW";"N/A"
9179;"AZB-00003";39.1238;-8.90787;"Chademo";"50kW";"N/A"
9180;"Forum Barreiro";38.6614;-9.07415;"Schuko";"3.7kW";"N/A"
9181;"Dainese Casa das Peles";39.1398;-8.80346;"Schuko";"3.7kW";"N/A"
9182;"Av. Dom Carlos I";38.6961;-9.42017;"Schuko";"3.7kW";"N/A"
9183;"Av. da República";38.6945;-9.42299;"Schuko";"3.7kW";"N/A"
9184;"Alameda Duquesa de Palmela";38.7005;-9.41799;"Schuko";"3.7kW";"N/A"
9185;"Av. Marginal";38.7036;-9.3985;"Schuko";"3.7kW";"N/A"
9186;"Av. Florinda Leal";38.7011;-9.38663;"Schuko";"3.7kW";"N/A"
9187;"R. da República";38.6961;-9.37405;"Schuko";"3.7kW";"N/A"
9188;"Ponta do Sal";38.6938;-9.37228;"Schuko";"3.7kW";"N/A"
9189;"Av. da República";38.6907;-9.3571;"Schuko";"3.7kW";"N/A"
9190;"R. Dr. Manuel de Arriaga";38.6881;-9.33702;"Schuko";"3.7kW";"N/A"
9191;"Largo 5 de Outubro";38.7326;-9.41004;"Type2";"3.7kW";"N/A"
9192;"Estrada de Manique";38.7362;-9.38624;"Schuko";"3.7kW";"N/A"
9193;"Centro da Abóboda";38.7246;-9.33399;"Schuko";"3.7kW";"N/A"
9194;"Praça Mario Azevedo Gomes";38.6915;-9.35886;"Schuko";"3.7kW";"N/A"
9195;"Largo Infante Dom Henrique";38.7029;-9.34065;"Schuko";"3.7kW";"N/A"
9203;"R. Olímpio Nicolau Fernandes";40.2117;-8.42631;"Schuko";"3.7kW";"N/A"
9204;"R. General Humberto Delgado";40.2049;-8.41157;"Schuko";"3.7kW";"N/A"
9205;"Praça D. Dinis";40.2079;-8.42351;"Schuko";"3.7kW";"N/A"
9206;"Alameda Armando Gonçalves";40.2152;-8.41338;"Schuko";"3.7kW";"N/A"
9207;"R. Olímpio Nicolau Rui Fernandes";40.1862;-8.41272;"Schuko";"3.7kW";"N/A"
9208;"Casa do Sal";40.2187;-8.43895;"Schuko";"3.7kW";"N/A"
9209;"R. do Carmo";40.2116;-8.43239;"Type2";"3.7kW";"N/A"
9210;"R. 5 De Outubro";40.1975;-8.46199;"Schuko";"3.7kW";"N/A"
9211;"R. Brigadeiro C. Cardoso";40.2175;-8.40497;"Schuko";"3.7kW";"N/A"
9212;"Av. José Bonifácio de Andrade e Silva";40.2114;-8.4442;"Schuko";"3.7kW";"N/A"
9213;"Estrada de Condeixa";40.1912;-8.50932;"Schuko";"3.7kW";"N/A"
9214;"Av. Fernão Magalhães";40.2094;-8.43146;"Schuko";"3.7kW";"N/A"
9215;"R. Fonte da Cheira";40.2006;-8.40412;"Schuko";"3.7kW";"N/A"
9225;"R. do Pinhal Verde";39.7165;-8.79712;"Schuko";"3.7kW";"N/A"
9226;"R. do Vale Grande";39.7193;-8.79838;"Schuko";"3.7kW";"N/A"
9227;"R. Olímpio Duarte Alves";39.7565;-8.82705;"Schuko";"3.7kW";"N/A"
9228;"Av. Bernardo Pimenta/Av.25 de Abril";39.7485;-8.81013;"Type2";"3.7kW";"N/A"
9229;"Av. Heróis de Angola";39.7472;-8.80369;"Type2";"3.7kW";"N/A"
9231;"R. João Soares";39.7397;-8.81255;"Type2";"3.7kW";"N/A"
